date,Passengers
31/01/1949,112
28/02/1949,118
31/03/1949,132
30/04/1949,129
31/05/1949,121
30/06/1949,135
31/07/1949,148
31/08/1949,148
30/09/1949,136
31/10/1949,119
30/11/1949,104
31/12/1949,118
31/01/1950,115
28/02/1950,126
31/03/1950,141
30/04/1950,135
31/05/1950,125
30/06/1950,149
31/07/1950,170
31/08/1950,170
30/09/1950,158
31/10/1950,133
30/11/1950,114
31/12/1950,140
31/01/1951,145
28/02/1951,150
31/03/1951,178
30/04/1951,163
31/05/1951,172
30/06/1951,178
31/07/1951,199
31/08/1951,199
30/09/1951,184
31/10/1951,162
30/11/1951,146
31/12/1951,166
31/01/1952,171
29/02/1952,180
31/03/1952,193
30/04/1952,181
31/05/1952,183
30/06/1952,218
31/07/1952,230
31/08/1952,242
30/09/1952,209
31/10/1952,191
30/11/1952,172
31/12/1952,194
31/01/1953,196
28/02/1953,196
31/03/1953,236
30/04/1953,235
31/05/1953,229
30/06/1953,243
31/07/1953,264
31/08/1953,272
30/09/1953,237
31/10/1953,211
30/11/1953,180
31/12/1953,201
31/01/1954,204
28/02/1954,188
31/03/1954,235
30/04/1954,227
31/05/1954,234
30/06/1954,264
31/07/1954,302
31/08/1954,293
30/09/1954,259
31/10/1954,229
30/11/1954,203
31/12/1954,229
31/01/1955,242
28/02/1955,233
31/03/1955,267
30/04/1955,269
31/05/1955,270
30/06/1955,315
31/07/1955,364
31/08/1955,347
30/09/1955,312
31/10/1955,274
30/11/1955,237
31/12/1955,278
31/01/1956,284
29/02/1956,277
31/03/1956,317
30/04/1956,313
31/05/1956,318
30/06/1956,374
31/07/1956,413
31/08/1956,405
30/09/1956,355
31/10/1956,306
30/11/1956,271
31/12/1956,306
31/01/1957,315
28/02/1957,301
31/03/1957,356
30/04/1957,348
31/05/1957,355
30/06/1957,422
31/07/1957,465
31/08/1957,467
30/09/1957,404
31/10/1957,347
30/11/1957,305
31/12/1957,336
31/01/1958,340
28/02/1958,318
31/03/1958,362
30/04/1958,348
31/05/1958,363
30/06/1958,435
31/07/1958,491
31/08/1958,505
30/09/1958,404
31/10/1958,359
30/11/1958,310
31/12/1958,337
31/01/1959,360
28/02/1959,342
31/03/1959,406
30/04/1959,396
31/05/1959,420
30/06/1959,472
31/07/1959,548
31/08/1959,559
30/09/1959,463
31/10/1959,407
30/11/1959,362
31/12/1959,405
31/01/1960,417
29/02/1960,391
31/03/1960,419
30/04/1960,461
31/05/1960,472
30/06/1960,535
31/07/1960,622
31/08/1960,606
30/09/1960,508
31/10/1960,461
30/11/1960,390
31/12/1960,432